latency	type	position
33.782	21	Record
43.581	20	Start
43.582	0	0
53.59	23	Interval
57.38	24	No
62.54	25	Yes
62.54	20	Stop
62.54	3	3
79.932	20	Start
89.94	23	Interval
99.946	23	Interval
109.951	23	Interval
112.731	25	Yes
114.5	25	Yes
114.5	20	Stop
114.5	2	2
126.237	20	Start
136.241	23	Interval
146.249	23	Interval
156.256	23	Interval
161.644	24	No
171.649	23	Interval
181.656	23	Interval
189.62	24	No
189.621	20	Stop
189.621	4	4
200.492	20	Start
210.495	23	Interval
220.502	23	Interval
230.509	23	Interval
231.259	24	No
241.268	23	Interval
251.271	23	Interval
259.244	25	Yes
259.244	24	Stop
259.244	1	1
269.492	20	Start
273.988	25	Yes
278.285	25	Yes
278.285	20	Stop
278.285	5	5
295.924	20	Start
305.931	23	Interval
306.582	25	Yes
316.588	23	Interval
321.083	24	No
321.083	20	Stop
321.083	20	Stop
321.083	25	Quit
